key,value,type,directions
Front Leg Raises,9.0,Dynamic: Pull,"Stand next to a chair or other support, holding on with one hand.
Swing your leg forward, keeping the leg straight. Continue with a downward swing, bringing the leg as far back as your flexibility allows. Repeat 5-10 times, and then switch legs."
Leg-up Hamstring Stretch,7.8,Dynamic: Push,"Lie flat on your back, bend one knee, and put that foot flat on the floor to stabilize your spine.
Extend the other leg in the air. If you're tight, you wont be able to straighten it. That's okay. Extend the knee so that the sole of the lifted foot faces the ceiling (or as close as you can get it).
Slowly straighten the legs as much as possible and then pull the leg toward your nose. Switch sides."
Standing Hamstring and Calf Stretch,6.7,Static,"Being by looping a belt, band, or rope around one foot. While standing, place that foot forward.
Bend your back leg, while keeping the front one straight. Now raise the toes of your front foot off of the ground and lean forward.
Using the belt, pull on the top of the foot to increase the stretch in the calf. Hold for 10-20 seconds and repeat with the other foot."
Standing Toe Touches,6.7,Static,"Stand with some space in front and behind you.
Bend at the waist, keeping your legs straight, until you can relax and let your upper body hang down in front of you. Let your arms and hands hang down naturally. Hold for 10 to 20 seconds."
Upper Back-Leg Grab,5.4,Static,"While seated, bend forward to hug your thighs from underneath with both arms.
Keep your knees together and your legs extended out as you bring your chest down to your knees. You can also stretch your middle back by pulling your back away from your knees as your hugging them."
Seated Floor Hamstring Stretch,5.1,Static,"Sit on a mat with your right leg extended in front of you and your left leg bent with your foot against your right inner thigh.
Lean forward from your hips and reach for your ankle until you feel a stretch in your hamstring. Hold for 15 seconds, then repeat for your other side."
Quad Stretch,4.9,Static,"Lay on your side. Loop a belt, rope, or band around your top foot. Flex the knee and extend your hip, attempting to touch your glutes with your foot, and holding the belt with your hands. This will be your starting position.
With the belt being held over the shoulder or overhead, gently pull to increase the stretch in the quadriceps. Hold for 10-20 seconds, and then switch sides."
Frog Hops,3.9,Dynamic: Push,"Stand with your hands behind your head, and squat down keeping your torso upright and your head up. This will be your starting position.
Jump forward several feet, avoiding jumping unnecessarily high. As your feet contact the ground, absorb the impact through your legs, and jump again. Repeat this action 5-10 times."
Lying Glute,3.0,Static,"Lie on your back with your partner kneeling beside you.
Flex the hip of one leg, raising it off of the floor. Rotate the leg so the foot is over the opposite hip, the lower leg perpendicular to your body. Your partner should hold the knee and ankle in place. This will be your starting position.
Attempt to push your leg towards your partner, who should be preventing any actual movement of the leg.
After 10-20 seconds, completely relax as your partner gently pushes the ankle and knee towards your chest. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching."
One Knee to Chest,2.7,Static,"Start off by lying on the floor.
Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap.
Gently tug that knee toward your nose.
Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg."
